ï»¿"Data Source","World Development Indicators"

"Last Updated Date","2020-03-18"

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Aruba","ABW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.76391","4.39554","4.71468","4.73986","4.92365","","4.40848","4.68132","","4.81504","4.99923","5.92479","6.92927","6.11913","6.54906","6.80806","6.16293","6.48175","6.1899","","",""
"Afghanistan","AFG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","1.16036","1.11718","1.42788","","1.30332","","","","1.73981","1.84093","1.90917","1.72998","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.47945","3.46201","2.6042","3.45446","3.69522","3.2558","4.22836","4.05887","",""
"Angola","AGO","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.09022","5.72269","5.05851","","","","","","","","","","","2.56712","","2.60753","","","","","2.12011","2.28146","","","","3.42132","","","","","","","","",""
"Albania","ALB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44698","3.81464","3.08351","3.37947","3.53698","3.59293","3.43017","3.4587","3.1178","3.13824","3.22752","3.28155","3.19146","3.27593","","","","","","3.5393","","3.43797","3.96209","3.61025","2.46866",""
"Andorra","AND","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.71328","","","","","1.68153","","1.52269","1.59653","2.18989","2.07097","2.93007","3.15484","3.05742","3.14508","","2.43807","2.99781","3.25368","3.2567","3.19505","3.22691",""
"Arab World","ARB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.67072","","","","4.282285","","","","","","","","","","",""
"United Arab Emirates","ARE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","ARG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","1.45809","","1.9362","1.78052","1.92352","1.8436","1.16564","1.71984","1.93555","2.40028","2.60715","","1.59787","1.6175","2.56972","1.36186","1.26155","1.2823","","1.04612","1.06738","","","","","","3.73198","","4.03987","4.52168","4.58031","4.83374","4.01734","3.53505","3.48652","3.86001","4.12821","4.4626","4.84441","5.53105","5.01971","5.29063","5.34583","5.43661","5.36144","5.77611","5.54549","5.46223","",""
"Armenia","ARM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.84843","","","2.23519","2.77273","2.46944","2.13504","2.14504","2.48673","2.71203","2.71577","3.01894","3.17273","3.84079","3.249","3.14385","2.77248","2.65018","2.24724","2.80591","2.75812","2.70759","",""
"American Samoa","ASM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.62928","","","","","","","","","","","","",""
"Antigua and Barbuda","ATG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75397","","","3.39428","","","","","","","2.51724","","","","","","","","","",""
